addr,condo_sale_price,latitude,longitude
1412 N GREENVIEW AVE,544000.0,41.9074733,-87.66546696157394
2254 W ARTHUR AVE,130000.0,41.99967913187687,-87.68675998848023
2341 W HADDON AVE,290000.0,41.9019317,-87.68615749614868
2330 W HURON ST,390000.0,41.8941315,-87.68562972558803
4459 S KING DR,235000.0,41.709143,-87.6138244
3950 N LAKE SHORE DR,205000.0,41.9541924,-87.64595285567918
1238 W FLETCHER ST,523000.0,41.9391545,-87.66071823282535
621 W WASHINGTON BLVD,132000.0,41.8830117,-87.6649915
5328 W WINDSOR AVE,174900.0,41.9636627,-87.76113664243019
6700 S SOUTH SHORE DR,55000.0,41.77329675,-87.5671695507216
1727 S INDIANA AVE,400000.0,41.8347208,-87.6218403
1111 W 15TH ST,206000.0,41.86135375,-87.65535002173496
2212 W MONROE ST,370000.0,41.8801578,-87.68219098810044
203 S SANGAMON ST,321500.0,41.8788363,-87.6505421
411 W ONTARIO ST,491000.0,41.89287805,-87.6397683021912
24 W ERIE ST,1750000.0,41.89425345,-87.62912672168613
9412 W 140TH ST,240000.0,41.6407186,-87.4767662
600 N LAKE SHORE DR,1435000.0,41.8930835,-87.61517812518042
860 W BLACKHAWK ST,548500.0,41.90905465,-87.6502294248434
1550 N LAKE SHORE DR,480000.0,41.910972650000005,-87.6267306
1550 N LAKE SHORE DR,362500.0,41.910972650000005,-87.6267306
744 N MAY ST,359000.0,41.895732800000005,-87.6562628111413
1541 N TALMAN AVE,405000.0,41.9096513,-87.69296939421005
2717 N HALSTED ST,235000.0,41.93208415,-87.64869123902542
723 W DIVERSEY PKY,665000.0,41.9324846,-87.64754966535398
2726 N PINE GROVE AVE,310000.0,41.93144369517246,-87.64072245509983
1046 W CATALPA AVE,170000.0,41.981930886242964,-87.65695580160873
1924 W ROSCOE ST,345000.0,41.94330904291384,-87.67750787611536
2222 W BELMONT AVE,572500.0,41.9394351,-87.6930333
1636 N WELLS ST,235000.0,41.912359249999994,-87.63523266545309
4104 N KENMORE AVE,278000.0,41.95688136938911,-87.65631215175584
3232 N HALSTED ST,485500.0,41.9437827,-87.6493873
4946 N LOCKWOOD AVE,326000.0,41.9711177,-87.76038382639892
132 W JOHNSON ST,272000.0,41.6309594,-87.4794807
235 N SMITH ST,265000.0,42.0815102,-88.0474062
