address,latitude,longitude
8135 S ELIZABETH ST,41.7458017,-87.65455290358057
6030 N SHERIDAN RD,41.99164195,-87.65585274465907
1555 N SANDBURG TER,41.9098427,-87.63199752942239
14621 GREENWOOD RD,41.6142016,-87.5892114
939 N LAWLER AVE,41.897968750000004,-87.7517451960882
358 N AVERS AVE,41.8870409,-87.72279585057123
2926 N DAWSON AVE,41.9349093,-87.71168594127366
680 N GREEN ST,41.89450925,-87.64941196629073
756 W CALIFORNIA TER,41.9384749,-87.649074
8029 S CHAMPLAIN AVE,41.74853495,-87.60849119278933
1518 N HUDSON AVE,41.90983315,-87.64008319295944
1051 W PARTRIDGE DR,42.091934431905976,-88.06946926070519
1735 W SCHOOL ST,41.941265200000004,-87.67255163985024
11311 S COTTAGE GROVE AVE,41.688757100000004,-87.6104099783525
5434 W 31ST ST,41.836514388256944,-87.76017098788626
9054 W GRAND AVE,41.8915575,-87.6355718
2562 S HILLOCK AVE,41.84601265,-87.65536760938046
6827 S WABASH AVE,41.7701743,-87.62311280762809
4250 N MARINE DR,41.9604386,-87.6469076
4939 N ORIOLE AVE,41.969668687500004,-87.81707431250001
12213 S STATE ST,41.67213485,-87.62217749254992
1520 N GREENVIEW AVE,41.909517449999996,-87.66546545
3300 N SPRINGFIELD AVE,41.9410685,-87.7250997739655
900 E WILMETTE RD,42.10472,-88.022767
2544 W WARREN BLVD,41.88213491877966,-87.69005747989844
7435 S MICHIGAN AVE,41.759080850000004,-87.62123513216224
1931 W BELMONT AVE,41.939405550000004,-87.67723341896283
1625 N BURLING ST,41.91179608681433,-87.64697878244196
50 N PLUM GROVE RD,42.111695130439024,-88.04387147363383
1119 W LUNT AVE,42.008814349999994,-87.66041368918238
2041 W POTOMAC AVE,41.90475665,-87.67892269632596
2469 N LINDEN PL,41.926463299999995,-87.70451489853333
2469 N LINDEN PL,41.926463299999995,-87.70451489853333
2832 25TH AVE,41.9447715,-87.8658895
2118 N MAGNOLIA AVE,41.920438399999995,-87.6598907352205
420 S CLINTON ST,41.87615555,-87.64124159951635
420 S CLINTON ST,41.87615555,-87.64124159951635
1560 N SANDBURG TER,41.90951845,-87.63255027409821
1560 N SANDBURG TER,41.90951845,-87.63255027409821
841 N LATROBE AVE,41.89614925,-87.75658668046876
1854 N KEYSTONE AVE,41.915185300000005,-87.72797799456521
3109 N CHRISTIANA AVE,41.937811999999994,-87.71096214847458
6350 N MELVINA AVE,41.99659,-87.78316580164034
4216 N MOZART ST,41.95811625,-87.69989489805133
1835 W SCHOOL ST,41.941262949999995,-87.67537245692094
6554 N CAMPBELL AVE,42.0011107,-87.69272110450983
2147 N MCVICKER AVE,41.9192795,-87.7765059001899
2656 WALNUT ST,39.7161203,-82.9494785
7148 S KEDZIE AVE,41.7629122,-87.70306709600803
2229 N HARLEM AVE,41.9207223,-87.80578605879397
10519 S AVENUE F,41.7039372,-87.53017455044426
10519 S AVENUE F,41.7039372,-87.53017455044426
1137 UNION AVE,41.51089954875908,-87.633055221353
1137 UNION AVE,41.51089954875908,-87.633055221353
107 W 118TH ST,41.6795642,-87.62561758608248
4231 W CULLERTON ST,41.85414915,-87.73098402788462
5319 S LATROBE AVE,41.796402150000006,-87.75357709665178
443 E 87TH ST,41.7362957,-87.6127958898278
1829 N ALBANY AVE,41.9145846,-87.70495755
4917 W CULLOM AVE,41.9586416,-87.7506246285138
1204 S 11TH AVE,41.876026950866326,-87.84626520794033
3016 W MEDILL AVE,41.9241601,-87.70312094977018
4448 S PRINCETON AVE,41.81311035,-87.6337635681959
5114 N KENNETH AVE,41.97405055,-87.73965684395202
105 EDGEWOOD CT,42.08070845,-88.05095966182628
3847 W CERMAK RD,41.85134755,-87.72169656372233
132 E DELAWARE PL,41.89928405620157,-87.62470954521791
3616 KILLARNEY CT,42.07386481427912,-88.00455986629584
2101 S 6TH AVE,42.301728,-87.8482748
811 CHICAGO AVE,41.8943776,-87.7961647
480 N MCCLURG CT,41.8908998,-87.6179741
1727 W 106TH ST,41.70085345,-87.66564620555556
8344 S SEELEY AVE,41.74158405,-87.67441142569768
4250 N MARINE DR,41.9604386,-87.6469076
124 W POLK ST,41.8723768,-87.6313677645957
732 S FINANCIAL PL,41.8725204,-87.63284927568232
408 E 88TH ST,41.73490125,-87.61400155779722
13927 S EDBROOKE AVE,41.7017399,-87.6196771
9352 S FOREST AVE,41.723934799999995,-87.61684444015505
9352 S FOREST AVE,41.723934799999995,-87.61684444015505
4151 N KEDVALE AVE,41.956972,-87.7305759927996
501 N CLINTON ST,41.8910787,-87.64221646820133
2807 N KEATING AVE,41.931867,-87.74504812071956
5918 S CAMPBELL AVE,41.78593645,-87.68653988235293
6901 S OGLESBY AVE,41.76961585,-87.56777411011116
8758 S CREGIER AVE,41.7352975,-87.58080445692298
13040 S MONITOR AVE,41.655118474127605,-87.76408999888571
11408 S EMERALD AVE,41.686577400000004,-87.64128972292971
1234 N PARKSIDE AVE,41.90316345,-87.76716225075933
